Date,Adj Close
2017-01-03,217.5
2017-01-04,204.0
2017-01-05,213.0
2017-01-06,210.0
2017-01-09,208.5
2017-01-10,208.5
2017-01-11,213.0
2017-01-12,211.5
2017-01-13,216.0
2017-01-17,223.5
2017-01-18,220.5
2017-01-19,222.0
2017-01-20,225.0
2017-01-23,231.0
2017-01-24,237.0
2017-01-25,240.0
2017-01-26,225.0
2017-01-27,229.5
2017-01-30,223.5
2017-01-31,214.5
2017-02-01,231.0
2017-02-02,229.5
2017-02-03,235.5
2017-02-06,225.0
2017-02-07,222.0
2017-02-08,238.5
2017-02-09,225.0
2017-02-10,229.5
2017-02-13,229.5
2017-02-14,220.5
2017-02-15,228.0
2017-02-16,238.5
2017-02-17,232.5
2017-02-21,238.5
2017-02-22,240.0
2017-02-23,225.0
2017-02-24,228.0
2017-02-27,241.5
2017-02-28,238.5
2017-03-01,235.5
2017-03-02,225.0
2017-03-03,229.5
2017-03-06,228.0
2017-03-07,219.0
2017-03-08,210.0
2017-03-09,210.0
2017-03-10,205.5
2017-03-13,196.5
2017-03-14,195.0
2017-03-15,204.0
2017-03-16,205.5
2017-03-17,204.0
2017-03-20,205.5
2017-03-21,198.0
2017-03-22,190.5
2017-03-23,189.0
2017-03-24,193.5
2017-03-27,196.5
2017-03-28,193.5
2017-03-29,196.5
2017-03-30,199.5
2017-03-31,196.5
2017-04-03,192.0
2017-04-04,187.5
2017-04-05,190.5
2017-04-06,184.5
2017-04-07,178.5
2017-04-10,192.0
2017-04-11,189.0
2017-04-12,189.0
2017-04-13,198.0
2017-04-17,199.5
2017-04-18,192.0
2017-04-19,192.0
2017-04-20,187.5
2017-04-21,190.5
2017-04-24,181.5
2017-04-25,181.5
2017-04-26,181.5
2017-04-27,174.0
2017-04-28,177.0
2017-05-01,175.5
2017-05-02,165.0
2017-05-03,159.0
2017-05-04,157.5
2017-05-05,163.5
2017-05-08,165.0
2017-05-09,159.0
2017-05-10,165.0
2017-05-11,172.5
2017-05-12,169.5
2017-05-15,163.5
2017-05-16,168.0
2017-05-17,160.5
2017-05-18,159.0
2017-05-19,165.0
2017-05-22,174.0
2017-05-23,172.5
2017-05-24,175.5
2017-05-25,174.0
2017-05-26,171.0
2017-05-30,166.5
2017-05-31,162.0
2017-06-01,160.5
2017-06-02,159.0
2017-06-05,168.0
2017-06-06,156.0
2017-06-07,145.5
2017-06-08,154.5
2017-06-09,150.0
2017-06-12,151.5
2017-06-13,151.5
2017-06-14,157.5
2017-06-15,153.0
2017-06-16,154.5
2017-06-19,150.0
2017-06-20,151.5
2017-06-21,148.5
2017-06-22,150.0
2017-06-23,141.0
2017-06-26,142.5
2017-06-27,145.5
2017-06-28,145.5
2017-06-29,147.0
2017-06-30,136.5
2017-07-03,141.0
2017-07-05,138.0
2017-07-06,141.0
2017-07-07,151.5
2017-07-10,153.0
2017-07-11,147.0
2017-07-12,150.0
2017-07-13,142.5
2017-07-14,145.5
2017-07-17,139.5
2017-07-18,139.5
2017-07-19,136.5
2017-07-20,136.5
2017-07-21,141.0
2017-07-24,136.5
2017-07-25,136.5
2017-07-26,138.0
2017-07-27,136.5
2017-07-28,133.5
2017-07-31,132.0
2017-08-01,123.0
2017-08-02,129.0
2017-08-03,123.0
2017-08-04,109.5
2017-08-07,108.0
2017-08-08,118.5
2017-08-09,121.5
2017-08-10,121.5
2017-08-11,121.5
2017-08-14,121.5
2017-08-15,108.0
2017-08-16,114.0
2017-08-17,112.5
2017-08-18,118.5
2017-08-21,112.5
2017-08-22,115.5
2017-08-23,118.5
2017-08-24,117.0
2017-08-25,114.0
2017-08-28,109.5
2017-08-29,111.0
2017-08-30,111.0
2017-08-31,108.0
2017-09-01,106.5
2017-09-05,106.5
2017-09-06,105.0
2017-09-07,105.0
2017-09-08,103.5
2017-09-11,99.0
2017-09-12,105.0
2017-09-13,100.5
2017-09-14,102.0
2017-09-15,132.0
2017-09-18,112.5
2017-09-19,109.5
2017-09-20,109.5
2017-09-21,105.0
2017-09-22,111.0
2017-09-25,109.5
2017-09-26,141.0
2017-09-27,163.5
2017-09-28,142.5
2017-09-29,148.5
2017-10-02,147.0
2017-10-03,148.5
2017-10-04,142.5
2017-10-05,150.0
2017-10-06,129.0
2017-10-09,136.5
2017-10-10,144.0
2017-10-11,141.0
2017-10-12,138.0
2017-10-13,132.0
2017-10-16,132.0
2017-10-17,108.9000015258789
2017-10-18,105.0
2017-10-19,117.5999984741211
2017-10-20,107.0999984741211
2017-10-23,104.0999984741211
2017-10-24,102.5999984741211
2017-10-25,96.9000015258789
2017-10-26,97.19999694824219
2017-10-27,102.30000305175781
2017-10-30,95.69999694824219
2017-10-31,90.30000305175781
2017-11-01,84.30000305175781
2017-11-02,85.80000305175781
2017-11-03,85.19999694824219
2017-11-06,80.69999694824219
2017-11-07,82.19999694824219
2017-11-08,75.0
2017-11-09,71.4000015258789
2017-11-10,85.19999694824219
2017-11-13,84.0
2017-11-14,81.0
2017-11-15,83.4000015258789
2017-11-16,85.5
2017-11-17,81.0
2017-11-20,80.69999694824219
2017-11-21,81.30000305175781
2017-11-22,84.0
2017-11-24,82.5
2017-11-27,86.4000015258789
2017-11-28,84.0
2017-11-29,83.4000015258789
2017-11-30,83.0999984741211
2017-12-01,82.19999694824219
2017-12-04,139.1999969482422
2017-12-05,114.9000015258789
2017-12-06,146.6999969482422
2017-12-07,118.19999694824219
2017-12-08,126.30000305175781
2017-12-11,122.0999984741211
2017-12-12,117.30000305175781
2017-12-13,109.80000305175781
2017-12-14,105.9000015258789
2017-12-15,111.0
2017-12-18,109.19999694824219
2017-12-19,108.5999984741211
2017-12-20,105.30000305175781
