Date,Adj Close
2017-01-03,209.5
2017-01-04,215.0
2017-01-05,207.0
2017-01-06,201.5
2017-01-09,203.5
2017-01-10,232.0
2017-01-11,230.0
2017-01-12,224.0
2017-01-13,226.5
2017-01-17,218.5
2017-01-18,220.5
2017-01-19,213.5
2017-01-20,204.5
2017-01-23,202.0
2017-01-24,203.0
2017-01-25,201.5
2017-01-26,197.0
2017-01-27,205.5
2017-01-30,197.0
2017-01-31,209.5
2017-02-01,205.0
2017-02-02,218.5
2017-02-03,225.0
2017-02-06,221.0
2017-02-07,220.5
2017-02-08,223.8000030517578
2017-02-09,236.0
2017-02-10,234.5
2017-02-13,234.0
2017-02-14,236.5
2017-02-15,238.0
2017-02-16,233.0
2017-02-17,231.5
2017-02-21,242.0
2017-02-22,244.5
2017-02-23,247.5
2017-02-24,266.0
2017-02-27,269.5
2017-02-28,255.0
2017-03-01,260.5
2017-03-02,257.5
2017-03-03,261.5
2017-03-06,250.0
2017-03-07,249.0
2017-03-08,245.0
2017-03-09,241.0
2017-03-10,237.0
2017-03-13,234.5
2017-03-14,222.0
2017-03-15,221.5
2017-03-16,232.0
2017-03-17,232.0
2017-03-20,233.0
2017-03-21,227.0
2017-03-22,227.5
2017-03-23,227.5
2017-03-24,225.0
2017-03-27,228.5
2017-03-28,235.5
2017-03-29,231.0
2017-03-30,241.0
2017-03-31,242.0
2017-04-03,247.3000030517578
2017-04-04,249.0
2017-04-05,251.5
2017-04-06,250.5
2017-04-07,247.5
2017-04-10,242.5
2017-04-11,242.5
2017-04-12,238.0
2017-04-13,230.5
2017-04-17,231.5
2017-04-18,234.5
2017-04-19,251.5
2017-04-20,250.0
2017-04-21,247.5
2017-04-24,259.5
2017-04-25,259.0
2017-04-26,266.0
2017-04-27,267.5
2017-04-28,273.0
2017-05-01,274.5
2017-05-02,276.0
2017-05-03,274.0
2017-05-04,292.5
2017-05-05,295.0
2017-05-08,291.5
2017-05-09,288.5
2017-05-10,281.29998779296875
2017-05-11,271.0
2017-05-12,274.5
2017-05-15,281.0
2017-05-16,292.0
2017-05-17,269.0
2017-05-18,280.0
2017-05-19,278.5
2017-05-22,284.0
2017-05-23,281.0
2017-05-24,288.5
2017-05-25,287.0
2017-05-26,282.5
2017-05-30,280.5
2017-05-31,279.0
2017-06-01,283.0
2017-06-02,285.0
2017-06-05,283.0
2017-06-06,282.0
2017-06-07,269.0
2017-06-08,270.0
2017-06-09,272.0
2017-06-12,263.0
2017-06-13,264.5
2017-06-14,265.0
2017-06-15,271.5
2017-06-16,279.0
2017-06-19,282.5
2017-06-20,282.5
2017-06-21,295.5
2017-06-22,303.0
2017-06-23,302.5
2017-06-26,285.0
2017-06-27,272.5
2017-06-28,279.0
2017-06-29,272.0
2017-06-30,273.5
2017-07-03,276.0
2017-07-05,276.5
2017-07-06,268.5
2017-07-07,274.0
2017-07-10,273.5
2017-07-11,280.0
2017-07-12,288.5
2017-07-13,287.0
2017-07-14,294.0
2017-07-17,289.0
2017-07-18,292.5
2017-07-19,290.0
2017-07-20,276.5
2017-07-21,276.0
2017-07-24,272.5
2017-07-25,278.0
2017-07-26,277.0
2017-07-27,271.0
2017-07-28,259.5
2017-07-31,262.5
2017-08-01,264.5
2017-08-02,262.5
2017-08-03,265.0
2017-08-04,251.5
2017-08-07,251.5
2017-08-08,231.0
2017-08-09,228.8000030517578
2017-08-10,211.0
2017-08-11,213.0
2017-08-14,216.0
2017-08-15,224.0
2017-08-16,224.0
2017-08-17,235.5
2017-08-18,217.0
2017-08-21,211.8000030517578
2017-08-22,222.5
2017-08-23,225.5
2017-08-24,222.0
2017-08-25,225.5
2017-08-28,230.5
2017-08-29,227.0
2017-08-30,226.5
2017-08-31,230.0
2017-09-01,232.5
2017-09-05,235.0
